trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
743,False,"{'a': 0.6, 'e': 0.47550791673393517}",25,3,-74.24076168587,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
744,False,"{'a': 0.6, 'e': 0.4750324088172012}",25,9,-15.22898436836627,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
745,False,"{'a': 0.6, 'e': 0.474557376408384}",25,0,-141.47499265661386,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
746,False,"{'a': 0.6, 'e': 0.47408281903197563}",20,0,-25.37786673350572,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
747,False,"{'a': 0.6, 'e': 0.47360873621294364}",20,1,11.340777717609127,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
748,False,"{'a': 0.6, 'e': 0.4731351274767307}",25,13,-90.82653646066312,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
749,False,"{'a': 0.6, 'e': 0.472661992349254}",25,15,-22.841688213404503,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
750,False,"{'a': 0.6, 'e': 0.47218933035690475}",25,16,-30.403056838284694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
751,False,"{'a': 0.6, 'e': 0.4717171410265478}",20,4,-4.706898579429161,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
752,False,"{'a': 0.6, 'e': 0.47124542388552126}",20,7,-0.8512893252736344,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
753,False,"{'a': 0.6, 'e': 0.4707741784616358}",25,11,-4.840448360038293,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
754,False,"{'a': 0.6, 'e': 0.47030340428317413}",20,0,3.388168105842198,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
755,False,"{'a': 0.6, 'e': 0.46983310087889096}",30,7,-3.07597546707978,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
756,False,"{'a': 0.6, 'e': 0.46936326777801207}",35,0,-97.18551706415091,"{0: 27, 1: 1, 2: 5, 3: 0, 4: 2}",0
757,False,"{'a': 0.6, 'e': 0.46889390451023405}",20,10,7.130210787809425,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
758,False,"{'a': 0.6, 'e': 0.4684250106057238}",20,6,19.478619362807564,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.6, 'e': 0.4679565855951181}",25,0,-99.57423297441102,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
760,False,"{'a': 0.6, 'e': 0.467488629009523}",25,10,1.9649063339386583,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
761,False,"{'a': 0.6, 'e': 0.46702114038051346}",30,5,-73.34650813589764,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",1
762,False,"{'a': 0.6, 'e': 0.4665541192401329}",20,0,-13.892154343160751,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
763,False,"{'a': 0.6, 'e': 0.4660875651208928}",25,0,-9.19256370776554,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
764,False,"{'a': 0.6, 'e': 0.4656214775557719}",35,5,-156.07361604921286,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",1
765,False,"{'a': 0.6, 'e': 0.46515585607821613}",20,13,-2.49194404179831,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
766,False,"{'a': 0.6, 'e': 0.46469070022213793}",35,13,-9.088766728884249,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
767,False,"{'a': 0.6, 'e': 0.4642260095219158}",25,9,-133.5648897323807,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 3}",1
768,False,"{'a': 0.6, 'e': 0.46376178351239383}",35,21,-16.35773721330891,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
